Unnamed: 0,EPA ID,Site Name,City,County,State,Street Address,Zip Code,Region,NPL Status,Partial NPL Deletion,Superfund Alternative Approach,Site-wide Ready for Anticipated Use,Human Exposure Under Control,Groundwater Migration Under Control,Construction Complete,Construction Completion Date,Non-NPL Status Category,Non-NPL Status Subcategory,Non-NPL Status,Site Status,Site Type,Site Type Subcategory,Federal Agency,Native American Interest (NAI),Indian Entity (NAI Status),HRS Score,Federal Facility Indicator,Alias/Alternative Site Name,Non-NPL Status Date,Superfund Site Profile Page URL,RCRA Handler ID - RCRA Handler Name,Latitude,Longitude
10,TXR000081451,AIR FORCE MEDICAL OPERATIONS AGENCY AFMOA,SAN ANTONIO,BEXAR,TX,"601 Davy Crockett Rd, BLDG 1534",78226-1885,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Assessment Needed or Ongoing,Initial Assessment Needed/Ongoing,Fed Fac Preliminary Assessment Review Start Needed,Active,Other,Spill or other one-time event,Department of Defense,No,,,Yes,,2015-08-17 00:00:00,,,,
11,TX7572024605,AIR FORCE PLANT #4 (GENERAL DYNAMICS),FORT WORTH,TARRANT,TX,GRANTS LANE,76108,R06,Final NPL,No,No,No,Insufficient Data,Yes,Yes,2006-09-15,,,,Active,Manufacturing/Processing/Maintenance,Trucks/ships/trains/aircraft and related components,Department of Defense,No,,39.92,Yes,"AIR FORCE PLANT #4 (GENERAL DYNAMICS), PLANT #4 (GENERAL DYNAMICS), AIR FORCE PLANT #4 (GEN DYNAMICS)",1982-11-01 00:00:00,www.epa.gov/superfund/air-force-plan-4,,,
12,TXN000605233,AIR FORCE PLANT 4 (LOCKHEED MARTIN),FORT WORTH,TARRANT,TX,7 miles NW of Fort Worth,75108,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Not Eligible for the NPL/No Further Remedial Action Planned,,NFRAP-Site does not qualify for the NPL based on existing information,Active,Manufacturing/Processing/Maintenance,Trucks/ships/trains/aircraft and related components,Department of Defense,No,,,Yes,,2016-09-09 00:00:00,,,+32.772200,-97.449700
13,TXN000607239,AL-KEL ALLIANCE TOTE RESPONSE,HUTCHINS,DALLAS,TX,"INTERSTATE 45, AT MILE MARKER 274",75141,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Spill or other one-time event,,No,,,No,,2011-09-30 00:00:00,,,+32.642560,-096.704300
14,TXD008123168,ALCOA (POINT COMFORT)/LAVACA BAY,POINT COMFORT,CALHOUN,TX,Postal Address is unavailable for the Site,77979,R06,Final NPL,No,No,Yes,Yes,Yes,Yes,2007-07-23,,,,Active,Manufacturing/Processing/Maintenance,Chemicals and allied products,,No,,50.0,No,"ALUMINUM CO OF AMERICA CLASS II LANDFILL, ALCOA (POINT COMFORT)/LAVACA BAY, ALCOA (POINT COMFORT)/LAVACA BAY",1980-11-01 00:00:00,www.epa.gov/superfund/alcoa-lavaca-bay,TXD008123168 - ALCOA POINT COMFORT OPERATIONS,,
15,TXN000606825,ALFORD REFRIGERATION WAREHOUSE FIRE,DALLAS,DALLAS,TX,300 CADIZ STREET,75207-4602,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Spill or other one-time event,,No,,,No,,2007-09-27 00:00:00,,,+32.7683,-096.8017
16,TXN000606600,ALLEGED AMMONIA RELEASE,SAN ANTONIO,BEXAR,TX,FULTON AVE. & CAPITAL ST.,,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Spill or other one-time event,,No,,,No,,2004-10-25 00:00:00,,,+29.46116,-098.51347
17,TXN000622315,ALTIVIA CHEMICALS,LA PORTE,HARRIS,TX,1901 West H Street,77571,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Manufacturing/Processing/Maintenance,Chemicals and allied products,,No,,,No,,2023-12-04 00:00:00,,,+29.655172,-95.036419
18,TXN000605466,AMARILLO PHOSPHINE INCIDENT,AMARILLO,POTTER,TX,1301 Carolyn Street,79107,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Other,,No,,,No,AMARILLO PHOSPHINE,2017-04-27 00:00:00,,,35.226932,-101.776097
19,TXN000604296,AMASIA COVE MERCURY RELEASE,AUSTIN,HAYS,TX,8215 Amasia Cove,78729,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Other,,No,,,No,AMARISA COVE MERCURY RELEASE,2014-12-16 00:00:00,,,+30.455461,-97.760854
20,TXN000604342,AMERICAN AIRLINES ETHYLENE GLYCOL,DALLAS,DALLAS,TX,3200 E. Airfield Dr.,75261,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Other,,No,,,No,,2015-01-04 00:00:00,,,32.873418,-97.015701
21,TXN000605667,AMERICAN COASTAL OIL SPILL,ANAHUAC,[Blank County],TX,OFF FM 2041,,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Spill or other one-time event,,No,,,No,,2004-06-16 00:00:00,,,,
22,TXN000605543,AMERICAN FRESH PRODUCE WAREHOUSE FIRE,DALLAS,DALLAS,TX,2419 Logan Street,75215,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Product storage/distribution,,No,,,No,,2017-05-14 00:00:00,,,32.770651,-96.778614
23,TXD990757668,AMERICAN SMELTING CO-EL PASO SMELTING WK,EL PASO,EL PASO,TX,2401 W PAISANO DR,79999,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Not Eligible for the NPL/No Further Remedial Action Planned,,NFRAP-Site does not qualify for the NPL based on existing information,Active,,,,No,,,No,"ASARCO INC, AMERICAN SMELTING CO-EL PASO SMELTING WK",1994-08-23 00:00:00,,,,
24,TXN000605664,ANADARKO PETROLEUM CORP.,BRYAN,[Blank County],TX,HWY 1687,,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Spill or other one-time event,,No,,,No,,2004-05-16 00:00:00,,,,
25,TX0000605406,ANADARKO PETROLEUM CORP.,FAIRFIELD,FREESTONE,TX,Postal Address is unavailable for the Site,75840,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Spill or other one-time event,,No,,,No,,2000-06-06 00:00:00,,,,
26,TXN000606608,ANAHUAC REFUGE OIL SPILL,[Blank City],[Blank County],TX,ANAHUAC NATIONAL WILDLIFE REFUGE,,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Spill or other one-time event,,No,,,No,,2005-05-12 00:00:00,,,+29.5675,-094.4258
27,TXN000605660,ANDREWS TRANSPORT,DALLAS,DALLAS,TX,I-30 EASTBOUND & LARMAR ST.,,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,"Transportation (e.g., railroad yards, airport, barge docking site)",,No,,,No,,2004-05-01 00:00:00,,,+32.76917,-096.80323
28,TXN000605654,ANTELOPE CREEK OIL SPILL,WICHITA FALLS,WICHITA,TX,Postal Address is unavailable for the Site,,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Spill or other one-time event,,No,,,No,,2003-10-09 00:00:00,,,,
29,TXD042544270,"ARCHEM COMPANY, INC.",HOUSTON,HARRIS,TX,13103 CONKLIN LANE,77034,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Not Eligible for the NPL/No Further Remedial Action Planned,,NFRAP-Site does not qualify for the NPL based on existing information,Active,,,,No,,,No,ARCHEM COMPANY INC,2001-11-26 00:00:00,,,,
30,TXN000606643,ASCEND AMMONIA RELEASE,CLUTE,BRAZORIA,TX,North of FM 523 & FM 227,77515,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Other,,No,,,No,,2017-10-03 00:00:00,,,+29.069483,-95.339361
31,TXN000607386,ATLAS SMELTING & REFINING CO.,HOUSTON,HARRIS,TX,6800 BREWSTER,77093,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Referred to Removal - NFRAP,Active,Recycling,Batteries/scrap metals/secondary smelting/precious metal recovery,,No,,,No,,2014-03-03 00:00:00,,,29.821090,-95.338669
32,TXN000607065,AUSTIN PLANE CRASH,AUSTIN,TRAVIS,TX,9420 RESEARCH BLVD.,78759,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Spill or other one-time event,,No,,,No,,2010-02-18 00:00:00,,,+30.384005,-097.744002
33,TXD980864649,BAILEY WASTE DISPOSAL,BRIDGE CITY,ORANGE,TX,HWY 87 S @ RAINBOW BRIDGE,77611,R06,Deleted NPL,Yes,No,Yes,Yes,Yes,Yes,1998-09-14,,,,Active,Waste Management,Industrial waste facility (non-generator),,No,,,No,"BAILEY WASTE DISPOSAL, GULF ST UTIL/BAILEYS SABINE LAKE BRIDGE, GULF ST UTIL/BAILEYS SABINE LAKE BRIDGE",1979-11-01 00:00:00,www.epa.gov/superfund/bailey-waste-disposal,,,
34,TXN000606565,BANDERA ROAD GROUND WATER PLUME,SAN ANTONIO,BEXAR,TX,INTERSECTION OF BANDERA ROAD AND,78238,R06,Final NPL,No,No,No,No,Yes,No,,,,,Active,Other,Other,,No,,50.0,No,"BANDERA ROAD GROUNDWATER PLUM, BANDERA ROAD GROUND WATER PLUME, BANDERA ROAD GROUNDWATER PLUME",2004-06-15 00:00:00,www.epa.gov/superfund/bandera-road,,,
35,TXN000622236,BASF CORP. PORT ARTHUR,PORT ARTHUR,JEFFERSON,TX,7501 TX-87,77642,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Manufacturing/Processing/Maintenance,Other,,No,,,No,,2022-07-01 00:00:00,,,+29.956027,-93.881841
36,TXR988077640,"BATTERY RECLAMATION, INC.",PECOS,REEVES,TX,2110 WESTERN AVE.,79772,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Referred to Removal - NFRAP,Active,Recycling,Batteries/scrap metals/secondary smelting/precious metal recovery,,No,,,No,BATTERY RECLAMATION INC,2008-11-04 00:00:00,,,,
37,TXN000606738,BAYER FACILITY EXPLOSION,BAYTOWN,[Blank County],TX,8500 WEST RD.,,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Spill or other one-time event,,No,,,No,,2006-10-06 00:00:00,,,+29.76497,-094.9071
38,TXN000607144,BEACH ST. TRANSPORT FIRE,FT. WORTH,TARRANT,TX,25 MI. W OF INTERSTATE 30 & BEACH ST.,76111,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Spill or other one-time event,,No,,,No,,2011-03-29 00:00:00,,,,
39,TXN000610440,BELLVILLE EXPLOSION,BELLVILLE,AUSTIN,TX,7173 Highway 159 E,77418,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Other,,No,,,No,,2018-07-17 00:00:00,,,+30.006342,-96.761090
40,TX0572124188,BERGSTROM AIR FORCE BASE,AUSTIN,TRAVIS,TX,67 CSG/DE,78743,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Not Eligible for the NPL/No Further Remedial Action Planned,,NFRAP-Site does not qualify for the NPL based on existing information,Active,Waste Management,Unknown,Department of Defense,No,,,Yes,USAF BERGSTROM AIR FORCE BASE,1987-11-01 00:00:00,,,,
41,TXN000605578,BIG SPRING TRAIN DERAILMENT,BIG SPRING,HOWARD,TX,Postal Address is unavailable for the Site,,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Other,,No,,,No,,2003-08-06 00:00:00,,,+32.251590,-101.486210
42,TXN000606634,BIG TEX GRAIN CO.,SAN ANTONIO,BEXAR,TX,354 BLUE STAR STREET,78204,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Manufacturing/Processing/Maintenance,Other,,No,,,No,BIG TEX GRAIN COMPANY,2000-02-24 00:00:00,,,+29.405406,-98.492300
43,TXD980340889,"BIO-ECOLOGY SYSTEMS, INC.",GRAND PRAIRIE,DALLAS,TX,4100 E JEFFERSON,75051,R06,Deleted NPL,Yes,No,Yes,Yes,Yes,Yes,1993-04-12,,,,Active,Waste Management,Industrial waste facility (non-generator),,No,,,No,"BIO-ECOLOGY SYSTEMS, INC., BIO-ECOLOGY SYSTEMS, INC., BIO-ECOLOGY SYSTEMS INC, BIO-ECOLOGY SYSTEMS, INC, BIOECOLOGY",1979-01-01 00:00:00,www.epa.gov/superfund/bio-ecology-systems,,,
44,TXN000622377,BLUE TIDE ENVIRONMENTAL,BAYTOWN,CHAMBERS,TX,6651 West Bay Road,77523,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Manufacturing/Processing/Maintenance,Oil and gas refining,,No,,,No,,2025-01-29 00:00:00,,,+29.744497,-94.925351
45,TXN000622363,BLUEBONNET BAYTOWN FIRE,BAYTOWN,HARRIS,TX,6450 N Main Street,77521,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Manufacturing/Processing/Maintenance,Chemicals and allied products,,No,,,No,,2024-12-10 00:00:00,,,+29.797687,-94.963099
46,TXN000607234,BNSF AMARILLO,AMARILLO,POTTER,TX,17TH AND JOHNSON,79012,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Spill or other one-time event,,No,,,No,,2011-09-29 00:00:00,,,+35.194501,-101.831928
47,TXN000606675,BNSF GREEN'S BAYOU DERAILMENT,HOUSTON,HARRIS,TX,HWY 90 AT GREEN'S BAYOU,,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Spill or other one-time event,,No,,,No,,2006-07-14 00:00:00,,,+29.82301,-095.23241
48,TXN000606586,BNSF HASTINGS DERAILMENT,HASTINGS,BRAZORIA,TX,COUNTY RD 128 & AMOCO RD.,,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Spill or other one-time event,,No,,,No,BNSF HASTINGS TEXAS DERAILMENT,2005-01-13 00:00:00,,,+29.5031,-095.2694
49,TXN000606599,BNSF LANDES TRAIN DERAILMENT,BRENHAM,WASHINGTON,TX,MILE POST 131,,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Spill or other one-time event,,No,,,No,,2004-10-30 00:00:00,,,+30.22521,-096.45458
50,TXN000605569,BNSF TRAIN DERAILMENT,OGLES,LAMPASAS,TX,MILEPOST 284.4,,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Other,,No,,,No,,2003-04-02 00:00:00,,,,
51,TXN000605332,BNSF VALLEY MILLS TRAIN DERAILMENT,VALLEY MILLS,BOSQUE,TX,MILE POST 259,76689,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,"Transportation (e.g., railroad yards, airport, barge docking site)",,No,,,No,,2016-11-17 00:00:00,,,,
52,TXN000605334,BNSF VALLEY VIEW DISCHARGE,VALLEY VIEW,COOKE,TX,Elm Grove Road,76272,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,"Transportation (e.g., railroad yards, airport, barge docking site)",,No,,,No,,2015-05-08 00:00:00,,,,
53,TXN000606592,BONHAM PESTICIDE FIRE,BONHAM,[Blank County],TX,HWY 56 AND FM 2925,,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Spill or other one-time event,,No,,,No,,2004-10-24 00:00:00,,,+33.57727,-096.13001
54,TXR000079413,BOOKER GEORGE PROPERTY,KAUFMAN,KAUFMAN,TX,FM 1836 APPROX 0.5 MILE EAST OF CR 110 &,75142,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Referred to Removal - NFRAP,Active,Recycling,Other,,No,,,No,,2011-11-29 00:00:00,,,,
55,TXN000607049,BORDER RECYCLING CENTER,UVALDE,UVALDE,TX,2343 WEST FM 2369,,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Recycling,Other,,No,,,No,,2009-11-20 00:00:00,,,+29.239024,-099.831315
56,TXN000622309,BOYD TOXIC EXPOSURE,BOYD,WISE,TX,259 County Road 4890,76023,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Residential,,No,,,No,,2023-10-25 00:00:00,,,,
57,TXN000607110,BP SPRABERRY YARD,MIDKIFF,UPTON,TX,FM 1357 (5 MILES S. OF FM 1379),79755,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Work Center,,No,,,No,BP SPRABERRT YARD,2010-09-28 00:00:00,,,+31.698892,-101.754483
58,TXN000606597,BP TEXAS CITY REFINERY,TEXAS CITY,GALVESTON,TX,2401 5TH AVE. SOUTH,,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Spill or other one-time event,,No,,,No,BP REFINERY EXPLOSION,2005-03-23 00:00:00,,,+29.37455,-094.42873
59,TXN000605640,BRENNTAG SOUTHWEST CHEMICAL RELEASE,DALLAS,DALLAS,TX,11344 PLANO ROAD,75243,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Spill or other one-time event,,No,,,No,,2004-04-25 00:00:00,,,32.916640,-96.700388
60,TX0000605264,BRINE SERVICE COMPANY,CORPUS CHRISTI,NUECES,TX,NORTHEAST OF INTERSECTION AT IH-37 AND,78409,R06,Final NPL,No,No,No,Yes,No,No,,,,,Active,Waste Management,Illegal disposal/open dump,,No,,50.0,No,BRINE SERVICE COMPANY,1997-11-03 00:00:00,www.epa.gov/superfund/brine-service,,,
61,TXD980625453,"BRIO REFINING, INC.",FRIENDSWOOD,HARRIS,TX,2501 DIXIE FARM ROAD,77089,R06,Deleted NPL,Yes,No,Yes,Yes,Yes,Yes,2004-04-28,,,,Active,"Recycling, Recycling, Recycling, Multiple, Manufacturing/Processing/Maintenance","Chemicals/chemical waste (e.g., solvent recovery), Multiple, Oil and gas refining, Waste/used oil, Multiple",,No,,,No,"BRIO REFINING INC, BRIO REFINERY CO., INC., JOC OIL AROMATICS, INC., BRIO REFINING, INC, BRIO REFINING, INC., LOWE CHEMICAL COMPANY",[Blank Date],www.epa.gov/superfund/brio-refining,,,
62,TX2572024303,BROOKS AIR FORCE BASE,SAN ANTONIO,BEXAR,TX,N GOLIAD RD,78235,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Not Eligible for the NPL/No Further Remedial Action Planned,,NFRAP-Site does not qualify for the NPL based on existing information,Active,Waste Management,Industrial waste landfill,Department of Defense,No,,,Yes,USAF BROOKS AIR FORCE BASE,1985-06-01 00:00:00,,,,
63,TXN000604062,BROWNFIELD HCL RELEASE,BROWNFIELD,TERRY,TX,613 West Powell Street,79316,R06,Not NPL,No,No,No,Status Unavailable,Status Unavailable,No,,Referred to Cleanup Program,Submitted to or Addressed by Superfund Removal Program,Removal Only Site (No Site Assessment Work Needed),Active,Other,Other,,No,,,No,,2014-07-21 00:00:00,,,33.181136,-102.288710
